DateAndTime;Line;ID;Carrier;BarCode1;BarCode2;BarCode3;BarCode4;LotNum
2024-01-16 11:23:06.487;1;12250864;UPS;1ZY488760368085406;420331911501;spNJ3VBSM67;;9
2024-01-16 11:23:12.487;1;12250865;UPS;42033122;1Z07A20X0300483305;42033122;;9
2024-01-16 11:23:16.487;1;12250866;UPS;420331220002;1Z6W837Y0207034130;;;9
2024-01-16 11:23:22.503;1;12250867;UPS;1Z46Y3E81374892555;420331220002;;;9
2024-01-16 11:23:25.503;1;12250868;UPS;1ZAC98180387250437;420331220002;;;9
2024-01-16 11:23:30.503;1;12250869;UPS;1ZA2941G0442352545;421840331220002;;;9
2024-01-16 11:23:36.503;1;12250870;UPS;4203312292612999953557581541818673;1ZA750F7YW74280896;4203315;;9
2024-01-16 11:23:40.503;1;12250871;UPS;E15;420331911501;1Z803R420309593629;;9
2024-01-16 11:23:43.503;1;12250872;UPS;42033122;1Z4C37VT0200409625;;;9
2024-01-16 11:23:52.503;1;12250873;UPS;FRN;420331911501;1Z819VV10332613293;;9
2024-01-16 11:23:58.503;1;12250874;UPS;420331911501;;;;9
2024-01-16 11:24:02.503;1;12250875;UPS;4203312292612903436233541480458365;1ZC6H140YW56391766;4203315;;9
2024-01-16 11:24:06.520;1;12250876;UPS;420331220002;1Z3028XW1313414780;E15;;9
2024-01-16 11:24:10.520;1;12250877;UPS;420331220002;1Z917A971305961300;;;9
2024-01-16 11:24:13.520;1;12250878;UPS;420331220002;1Z01R6051314989767;spNJ3g15q9J;;9
2024-01-16 11:24:17.520;1;12250879;UPS;420331529995;4203312292612903436233541480618103;1ZC6H140YW664;;9
2024-01-16 11:24:22.520;1;12250880;UPS;42033122;1ZC6J7600300102755;00000388081148454202;;9
2024-01-16 11:24:26.520;1;12250881;UPS;00004000003954962699;1Z6Y2A820313190164;420331220000;;9
2024-01-16 11:24:31.520;1;12250882;UPS;420331529995;1ZC6H140YW38938736;42033122926129034362335414055;;9
2024-01-16 11:24:42.533;1;12250883;UPS;1Z803R420309623499;420331911501;spR6G1bzq6V;;9
2024-01-16 11:24:47.533;1;12250884;UPS;420331529995;1ZC6H140YW90802640;42033122926129034362335414804;;9
2024-01-16 11:24:52.537;1;12250885;UPS;1ZE4G7300315940669;420331220002;;;9
